,book1,book2,book3,book4,book5,user,genre
49,4218,7566,8032,5445,2165,"78, 310, 1268",Chick-lit
50,2340,2610,8032,1735,2165,"78, 310, 1417",Chick-lit
51,7566,2165,7721,2938,2581,"78, 411, 455",Chick-lit
52,7566,2165,3011,1735,2589,"78, 411, 465",Chick-lit
53,2165,3011,2938,2340,3211,"78, 411, 509",Chick-lit
54,2938,1735,2165,7566,3016,"78, 411, 647",Chick-lit
55,2589,2340,3503,7566,2165,"78, 411, 694",Chick-lit
56,2165,7566,1748,2581,3567,"78, 411, 741",Chick-lit
57,2165,7566,2938,2581,8501,"78, 411, 761",Chick-lit
58,2165,7566,3011,8032,2371,"78, 411, 777",Chick-lit
59,2165,7566,8501,1542,1748,"78, 411, 942",Chick-lit
60,2581,7566,2938,2165,3011,"78, 411, 952",Chick-lit
61,2938,2165,2581,7566,2340,"78, 411, 1063",Chick-lit
62,7566,3211,3567,2589,3503,"78, 411, 1072",Chick-lit
63,2165,3011,2589,1748,7566,"78, 411, 1111",Chick-lit
64,7566,2165,3011,2589,4839,"78, 411, 1268",Chick-lit
65,2340,2938,2165,7566,2581,"78, 411, 1417",Chick-lit
66,5445,7566,1735,2610,7721,"78, 455, 465",Chick-lit
67,2340,7566,2938,5445,1713,"78, 455, 509",Chick-lit
68,2938,3016,5445,2340,1711,"78, 455, 647",Chick-lit
69,2340,2938,3503,3016,2371,"78, 455, 694",Chick-lit
70,2340,5445,7566,2938,3016,"78, 455, 741",Chick-lit
71,5445,7566,4218,6072,1713,"78, 455, 761",Chick-lit
72,3016,7566,2938,1649,1713,"78, 455, 777",Chick-lit
73,2938,7721,7566,3016,5445,"78, 455, 942",Chick-lit
74,2938,2581,7566,2340,2610,"78, 455, 952",Chick-lit
75,2938,7566,7721,2340,3016,"78, 455, 1063",Chick-lit
76,2938,3016,7566,5445,3503,"78, 455, 1072",Chick-lit
77,3011,3016,2165,2938,5445,"78, 455, 1111",Chick-lit
78,7566,7721,3016,2610,5445,"78, 455, 1268",Chick-lit
79,2938,2340,3016,5445,1713,"78, 455, 1417",Chick-lit
80,2165,2610,3011,1649,2340,"78, 465, 509",Chick-lit
81,1649,1735,2165,4218,5445,"78, 465, 647",Chick-lit
82,3503,3567,2610,8032,1649,"78, 465, 694",Chick-lit
83,2165,2340,1735,8032,3016,"78, 465, 741",Chick-lit
84,8032,1735,2589,4218,3567,"78, 465, 761",Chick-lit
85,2165,3016,1735,8032,2938,"78, 465, 777",Chick-lit
86,1542,2165,2610,1649,2938,"78, 465, 942",Chick-lit
87,2581,3011,2165,2610,1649,"78, 465, 952",Chick-lit
88,2165,3011,2340,2075,2589,"78, 465, 1063",Chick-lit
89,1649,2589,3016,4839,2165,"78, 465, 1072",Chick-lit
90,3011,3016,2165,8032,2589,"78, 465, 1111",Chick-lit
91,2610,7566,4218,1735,1649,"78, 465, 1268",Chick-lit
92,2165,1735,2610,3016,1913,"78, 465, 1417",Chick-lit
93,2938,2340,2069,5445,2165,"78, 509, 647",Chick-lit
94,2165,2340,2938,3211,3503,"78, 509, 694",Chick-lit
95,2165,2340,8501,3211,7566,"78, 509, 741",Chick-lit
96,2938,3211,8501,4218,2165,"78, 509, 761",Chick-lit
97,2165,1649,1713,8501,7566,"78, 509, 777",Chick-lit
98,8501,2938,2340,2165,3211,"78, 509, 942",Chick-lit
99,2581,2938,8501,2165,2340,"78, 509, 952",Chick-lit
100,2165,2938,2340,8501,3011,"78, 509, 1063",Chick-lit
101,3211,2938,2165,7566,1649,"78, 509, 1072",Chick-lit
102,2165,2938,3011,8501,3211,"78, 509, 1111",Chick-lit
103,2340,2165,2938,7566,3011,"78, 509, 1268",Chick-lit
104,2938,2165,2340,8501,3211,"78, 509, 1417",Chick-lit
105,2938,3567,3016,5445,2340,"78, 647, 694",Chick-lit
106,5445,2165,2340,1735,3016,"78, 647, 741",Chick-lit
107,4218,1735,2938,5445,3567,"78, 647, 761",Chick-lit
108,3016,2938,2165,1649,1735,"78, 647, 777",Chick-lit
109,2938,5445,3016,2340,1542,"78, 647, 942",Chick-lit
110,2938,2581,1735,3016,1649,"78, 647, 952",Chick-lit
111,2938,2165,1735,2340,5445,"78, 647, 1063",Chick-lit
112,2938,3016,5445,1711,3567,"78, 647, 1072",Chick-lit
113,3011,2165,2938,3016,1735,"78, 647, 1111",Chick-lit
114,2938,3016,2165,5445,4218,"78, 647, 1268",Chick-lit
115,2938,1735,3016,2340,3567,"78, 647, 1417",Chick-lit
116,2340,2165,3567,8032,3503,"78, 694, 741",Chick-lit
117,3567,2938,2165,5445,2371,"78, 694, 761",Chick-lit
118,2371,3016,2340,1649,1735,"78, 694, 777",Chick-lit
119,2938,2340,3503,2165,2371,"78, 694, 942",Chick-lit
120,2938,2581,2165,2340,2371,"78, 694, 952",Chick-lit
121,2938,2165,2340,2371,3503,"78, 694, 1063",Chick-lit
122,2938,3503,3016,3567,2165,"78, 694, 1072",Chick-lit
123,2165,2938,3016,3011,3503,"78, 694, 1111",Chick-lit
124,2938,3503,2340,3016,2165,"78, 694, 1268",Chick-lit
125,2938,2340,2165,3016,1735,"78, 694, 1417",Chick-lit
126,8032,8501,5445,2165,4218,"78, 741, 761",Chick-lit
127,2165,1913,2610,3016,1649,"78, 741, 777",Chick-lit
128,8501,2165,1542,2340,3503,"78, 741, 942",Chick-lit
129,2581,2340,2165,8501,7566,"78, 741, 952",Chick-lit
130,2165,2340,2938,7721,8501,"78, 741, 1063",Chick-lit
131,2165,5445,1649,2340,3016,"78, 741, 1072",Chick-lit
132,3011,2165,3016,1748,2938,"78, 741, 1111",Chick-lit
133,2165,7566,2340,7721,3503,"78, 741, 1268",Chick-lit
134,2165,2340,2938,3016,1713,"78, 741, 1417",Chick-lit
135,2165,5445,4218,8032,7566,"78, 761, 777",Chick-lit
136,8501,4218,2938,5445,1542,"78, 761, 942",Chick-lit
137,2581,2938,1735,7566,8501,"78, 761, 952",Chick-lit
138,2938,2165,2581,8501,4218,"78, 761, 1063",Chick-lit
139,3211,5445,2938,7566,6072,"78, 761, 1072",Chick-lit
140,2165,3011,2589,2938,1735,"78, 761, 1111",Chick-lit
141,7566,1735,4218,6072,2938,"78, 761, 1268",Chick-lit
142,2938,2165,3567,8501,2340,"78, 761, 1417",Chick-lit
143,8501,3016,2165,2938,2371,"78, 777, 942",Chick-lit
144,2938,2581,3016,1649,2165,"78, 777, 952",Chick-lit
145,2938,2165,2371,3016,7566,"78, 777, 1063",Chick-lit
146,1649,3016,5445,2165,2938,"78, 777, 1072",Chick-lit
147,3011,3016,2938,2165,2610,"78, 777, 1111",Chick-lit
148,2165,7566,3016,2938,1649,"78, 777, 1268",Chick-lit
149,3016,2938,2165,1713,1913,"78, 777, 1417",Chick-lit
150,2938,8501,2581,2340,1542,"78, 942, 952",Chick-lit
151,2938,8501,2165,2340,7721,"78, 942, 1063",Chick-lit
152,2938,2371,3503,1649,2165,"78, 942, 1072",Chick-lit
153,3011,2165,2938,8501,3016,"78, 942, 1111",Chick-lit
154,2938,2165,7566,1542,1735,"78, 942, 1268",Chick-lit
155,2938,8501,2165,2340,3016,"78, 942, 1417",Chick-lit
156,2938,2581,2165,2340,2075,"78, 952, 1063",Chick-lit
157,2938,2165,3016,1649,2581,"78, 952, 1072",Chick-lit
158,3011,2938,2581,2165,3016,"78, 952, 1111",Chick-lit
159,2938,7566,2581,3011,1649,"78, 952, 1268",Chick-lit
160,2938,2581,2340,1735,3016,"78, 952, 1417",Chick-lit
161,2938,2165,3016,7566,3503,"78, 1063, 1072",Chick-lit
162,3011,2165,2938,3016,1748,"78, 1063, 1111",Chick-lit
163,2938,7566,2165,1649,2340,"78, 1063, 1268",Chick-lit
164,2938,2165,2340,1713,3016,"78, 1063, 1417",Chick-lit
165,2165,3016,2938,3011,1649,"78, 1072, 1111",Chick-lit
166,2938,3503,1649,2165,7566,"78, 1072, 1268",Chick-lit
167,2938,3016,2165,2340,3567,"78, 1072, 1417",Chick-lit
168,2165,3011,3016,2938,7566,"78, 1111, 1268",Chick-lit
169,2938,3016,2165,3011,1713,"78, 1111, 1417",Chick-lit
170,2938,2340,2165,3016,3567,"78, 1268, 1417",Chick-lit
171,3211,3503,5790,2165,7566,"156, 308, 310",Chick-lit
172,3211,2165,7566,1913,2581,"156, 308, 411",Chick-lit
173,4218,7566,3211,3503,2581,"156, 308, 455",Chick-lit
174,3503,7566,3211,2165,4218,"156, 308, 465",Chick-lit
175,3211,2165,2581,7566,2069,"156, 308, 509",Chick-lit
176,2069,2581,3211,2075,3503,"156, 308, 647",Chick-lit
177,3211,3503,1748,2075,2581,"156, 308, 694",Chick-lit
178,4218,3211,7566,1713,2075,"156, 308, 741",Chick-lit
179,3211,2581,7566,4218,3503,"156, 308, 761",Chick-lit
180,3503,3211,2165,4218,5790,"156, 308, 777",Chick-lit
181,3211,4218,3503,7566,1542,"156, 308, 942",Chick-lit
182,2581,3211,4218,7566,3016,"156, 308, 952",Chick-lit
183,2581,3211,7566,3503,2938,"156, 308, 1063",Chick-lit
184,3211,3503,7566,2075,4218,"156, 308, 1072",Chick-lit
185,4218,3211,3011,3503,5427,"156, 308, 1111",Chick-lit
186,3211,7566,3503,4218,2075,"156, 308, 1268",Chick-lit
187,2069,3211,3016,2581,7566,"156, 308, 1417",Chick-lit
188,5790,2165,2581,7566,4218,"156, 310, 411",Chick-lit
189,5790,2610,7388,5445,1649,"156, 310, 455",Chick-lit
190,5790,2165,1713,2371,1735,"156, 310, 465",Chick-lit
191,2165,3211,2581,1713,7566,"156, 310, 509",Chick-lit
192,2075,2581,2165,4322,2938,"156, 310, 647",Chick-lit
193,4322,2938,5790,2581,7388,"156, 310, 694",Chick-lit
194,5790,1713,2165,7388,1649,"156, 310, 741",Chick-lit
195,2165,2938,5790,4218,7566,"156, 310, 761",Chick-lit
196,5790,1713,1913,8032,3016,"156, 310, 777",Chick-lit
197,5790,1542,1913,2165,8292,"156, 310, 942",Chick-lit
198,1713,1913,2581,2938,2165,"156, 310, 952",Chick-lit
199,5790,1913,7566,1713,2581,"156, 310, 1063",Chick-lit
200,2938,5790,7388,2165,3016,"156, 310, 1072",Chick-lit
201,2165,5790,3011,3016,5427,"156, 310, 1111",Chick-lit
202,2610,1713,3016,7566,5790,"156, 310, 1268",Chick-lit
203,5790,4322,2165,1713,1735,"156, 310, 1417",Chick-lit
204,7566,1713,1913,6072,4839,"156, 411, 455",Chick-lit
205,7566,2165,4218,1913,2069,"156, 411, 465",Chick-lit
206,3211,2165,7566,2581,3011,"156, 411, 509",Chick-lit
207,2165,2581,2938,1913,1748,"156, 411, 647",Chick-lit
208,2165,1913,2938,1748,3516,"156, 411, 694",Chick-lit
209,2165,1913,7566,6072,3211,"156, 411, 741",Chick-lit
210,2581,2165,3211,1913,7566,"156, 411, 761",Chick-lit
211,1913,2165,7566,4218,5790,"156, 411, 777",Chick-lit
212,2165,1913,3211,7566,4218,"156, 411, 942",Chick-lit
213,7566,2581,1913,2165,2938,"156, 411, 952",Chick-lit
214,2165,2581,7566,2938,1913,"156, 411, 1063",Chick-lit
215,2165,3211,7566,1913,1713,"156, 411, 1072",Chick-lit
216,3011,1913,2165,4218,3211,"156, 411, 1111",Chick-lit
217,2165,1913,7566,3211,4218,"156, 411, 1268",Chick-lit
218,2165,1913,6072,2581,3567,"156, 411, 1417",Chick-lit
219,3503,4218,7388,1713,6072,"156, 455, 465",Chick-lit
220,7566,2581,2938,2165,3503,"156, 455, 509",Chick-lit
221,2075,2938,1913,3016,7388,"156, 455, 647",Chick-lit
222,3016,2371,2610,2938,7388,"156, 455, 694",Chick-lit
223,2610,7388,2075,1713,3016,"156, 455, 741",Chick-lit
224,3503,1649,7566,3016,1713,"156, 455, 761",Chick-lit
225,1713,1913,2075,3016,1649,"156, 455, 777",Chick-lit
226,1713,2938,3016,2610,2075,"156, 455, 942",Chick-lit
227,2938,2581,1713,1649,7566,"156, 455, 952",Chick-lit
228,1713,1649,7566,2938,2581,"156, 455, 1063",Chick-lit
229,1713,2938,3016,2075,1913,"156, 455, 1072",Chick-lit
230,3016,1713,3011,2610,5427,"156, 455, 1111",Chick-lit
231,1713,3016,2610,7566,3503,"156, 455, 1268",Chick-lit
232,2938,1713,2610,1913,3016,"156, 455, 1417",Chick-lit
233,2165,1713,7566,3211,1913,"156, 465, 509",Chick-lit
234,2075,2610,1649,2165,2938,"156, 465, 647",Chick-lit
235,2938,2610,2371,2075,7388,"156, 465, 694",Chick-lit
236,2165,1713,6072,7388,1913,"156, 465, 741",Chick-lit
237,7566,4218,8032,2165,6072,"156, 465, 761",Chick-lit
238,1913,1713,2165,3016,8032,"156, 465, 777",Chick-lit
239,2165,1542,1913,1713,2938,"156, 465, 942",Chick-lit
240,1713,2581,2165,1913,2938,"156, 465, 952",Chick-lit
241,7566,1713,2165,2581,5790,"156, 465, 1063",Chick-lit
242,1913,3016,7388,2938,1649,"156, 465, 1072",Chick-lit
243,1713,3011,2610,2165,3016,"156, 465, 1111",Chick-lit
244,1913,7566,1713,2165,3016,"156, 465, 1268",Chick-lit
245,2165,2938,1913,4322,6072,"156, 465, 1417",Chick-lit
246,2165,2581,3211,1913,2938,"156, 509, 647",Chick-lit
247,2165,3211,3503,3016,1913,"156, 509, 694",Chick-lit
248,2165,3211,1713,1913,2581,"156, 509, 741",Chick-lit
249,3211,2581,2165,4218,2938,"156, 509, 761",Chick-lit
250,2165,1913,7566,3211,1713,"156, 509, 777",Chick-lit
251,2165,3211,2938,1913,4218,"156, 509, 942",Chick-lit
252,2581,2165,2938,1913,1713,"156, 509, 952",Chick-lit
253,2165,2581,3211,2938,1713,"156, 509, 1063",Chick-lit
254,2165,2938,3211,3016,1913,"156, 509, 1072",Chick-lit
255,2165,3011,3016,3211,1913,"156, 509, 1111",Chick-lit
256,2165,3211,3016,7566,1713,"156, 509, 1268",Chick-lit
257,2165,2938,1913,1713,2069,"156, 509, 1417",Chick-lit
258,3016,2075,2371,2610,1913,"156, 647, 694",Chick-lit
259,2165,2075,1913,2610,3016,"156, 647, 741",Chick-lit
260,2165,1913,2581,4218,3016,"156, 647, 761",Chick-lit
261,1913,2075,1713,2165,3016,"156, 647, 777",Chick-lit
262,2165,1913,2610,3016,2938,"156, 647, 942",Chick-lit
263,2938,1913,2581,2165,2075,"156, 647, 952",Chick-lit
264,2938,2371,2581,1748,1913,"156, 647, 1063",Chick-lit
265,3016,1913,2610,2938,2075,"156, 647, 1072",Chick-lit
266,3016,3011,2075,1913,2610,"156, 647, 1111",Chick-lit
267,3016,2075,2165,1913,2610,"156, 647, 1268",Chick-lit
268,2165,2075,2938,2610,1913,"156, 647, 1417",Chick-lit
269,2075,2610,2165,3016,1913,"156, 694, 741",Chick-lit
270,1913,2165,1735,2581,3567,"156, 694, 761",Chick-lit
271,1913,2371,2165,3016,2075,"156, 694, 777",Chick-lit
272,2610,3016,2165,2938,1542,"156, 694, 942",Chick-lit
273,2938,2581,2371,1713,1913,"156, 694, 952",Chick-lit
274,2371,3016,2610,2938,1713,"156, 694, 1063",Chick-lit
275,3016,2610,2075,2938,1713,"156, 694, 1072",Chick-lit
276,3016,2610,3011,2165,5427,"156, 694, 1111",Chick-lit
277,2610,3016,2165,2075,1713,"156, 694, 1268",Chick-lit
278,2610,3016,2938,1713,2075,"156, 694, 1417",Chick-lit
279,2165,3567,3211,1713,1913,"156, 741, 761",Chick-lit
280,1713,1913,2165,5790,2075,"156, 741, 777",Chick-lit
281,1542,1713,1913,2075,2165,"156, 741, 942",Chick-lit
282,2581,1913,2165,6072,1713,"156, 741, 952",Chick-lit
283,5790,2581,1713,1913,2165,"156, 741, 1063",Chick-lit
284,3016,1913,2165,2075,1713,"156, 741, 1072",Chick-lit
285,3011,2165,5427,2075,3016,"156, 741, 1111",Chick-lit
286,1713,2165,3016,1913,6072,"156, 741, 1268",Chick-lit
287,2165,6072,1713,1913,3016,"156, 741, 1417",Chick-lit
288,2165,1913,6072,1713,4218,"156, 761, 777",Chick-lit
289,2165,3016,3567,3503,1542,"156, 761, 942",Chick-lit
290,2581,2938,1649,7566,1713,"156, 761, 952",Chick-lit
291,1713,1649,2581,3211,3016,"156, 761, 1063",Chick-lit
292,1913,3016,3503,2165,2938,"156, 761, 1072",Chick-lit
293,3011,2165,1913,3567,3016,"156, 761, 1111",Chick-lit
294,7566,3016,2165,4218,3503,"156, 761, 1268",Chick-lit
295,2165,3567,1913,2938,6072,"156, 761, 1417",Chick-lit
296,1913,3016,1713,2165,5790,"156, 777, 942",Chick-lit
297,1913,1713,2581,2938,2165,"156, 777, 952",Chick-lit
298,1913,1713,5790,3016,2165,"156, 777, 1063",Chick-lit
299,1713,1913,3016,2075,2165,"156, 777, 1072",Chick-lit
300,3016,1913,1713,2165,3011,"156, 777, 1111",Chick-lit
301,1913,1713,3016,2165,7566,"156, 777, 1268",Chick-lit
302,1713,1913,2165,3016,2069,"156, 777, 1417",Chick-lit
303,1713,2938,2165,2581,2610,"156, 942, 952",Chick-lit
304,1713,2938,1542,1913,2371,"156, 942, 1063",Chick-lit
305,3016,2938,1913,1713,2075,"156, 942, 1072",Chick-lit
306,3016,3011,2165,2610,5427,"156, 942, 1111",Chick-lit
307,1713,3016,1913,1542,2075,"156, 942, 1268",Chick-lit
308,2938,2165,1713,3016,4322,"156, 942, 1417",Chick-lit
309,2581,2938,1713,1649,2371,"156, 952, 1063",Chick-lit
310,1713,2938,3016,1913,1649,"156, 952, 1072",Chick-lit
311,1713,2581,3011,3016,1913,"156, 952, 1111",Chick-lit
312,1713,1649,7566,3016,2938,"156, 952, 1268",Chick-lit
313,2938,2581,1713,2165,1913,"156, 952, 1417",Chick-lit
314,2938,1713,1913,1649,3016,"156, 1063, 1072",Chick-lit
315,3011,1713,3016,1913,2165,"156, 1063, 1111",Chick-lit
316,1713,7566,3016,1649,1913,"156, 1063, 1268",Chick-lit
317,2938,1713,2581,2165,5790,"156, 1063, 1417",Chick-lit
318,3016,1713,1913,2610,5427,"156, 1072, 1111",Chick-lit
319,3016,1713,2610,2075,1913,"156, 1072, 1268",Chick-lit
320,3016,1713,2938,3516,1913,"156, 1072, 1417",Chick-lit
321,3016,1713,1913,2165,2610,"156, 1111, 1268",Chick-lit
322,3016,1713,2165,3011,5427,"156, 1111, 1417",Chick-lit
323,1713,3016,2165,1913,2610,"156, 1268, 1417",Chick-lit
324,2165,3211,1649,2938,1542,"308, 310, 411",Chick-lit
325,3211,2581,4218,2069,2938,"308, 310, 455",Chick-lit
326,2165,3211,1649,2069,7566,"308, 310, 465",Chick-lit
327,2165,3211,1649,4218,2938,"308, 310, 509",Chick-lit
328,3211,2069,2165,4218,1649,"308, 310, 647",Chick-lit
329,3211,1649,2069,2938,3503,"308, 310, 694",Chick-lit
330,3211,2165,4218,1649,2069,"308, 310, 741",Chick-lit
331,3211,2069,2165,1649,4218,"308, 310, 761",Chick-lit
332,3211,2165,5790,2069,4218,"308, 310, 777",Chick-lit
333,4218,3211,1542,1649,2069,"308, 310, 942",Chick-lit
334,2581,3211,2938,1649,2165,"308, 310, 952",Chick-lit
335,3211,2581,1649,2938,2165,"308, 310, 1063",Chick-lit
336,3211,2069,1649,4218,2165,"308, 310, 1072",Chick-lit
337,3211,4218,2069,2165,3011,"308, 310, 1111",Chick-lit
338,3211,2069,4218,1649,2165,"308, 310, 1268",Chick-lit
339,2165,2069,2581,3211,2938,"308, 310, 1417",Chick-lit
340,3211,1649,7566,2075,5445,"308, 411, 455",Chick-lit
341,2165,1649,2069,4839,3211,"308, 411, 465",Chick-lit
342,3211,4218,1748,3011,2938,"308, 411, 509",Chick-lit
343,2938,1913,1748,2165,3211,"308, 411, 647",Chick-lit
344,3211,1748,1913,3503,4732,"308, 411, 694",Chick-lit
345,3211,2165,7566,1748,3891,"308, 411, 741",Chick-lit
346,3211,2581,1748,4218,2165,"308, 411, 761",Chick-lit
347,2165,3211,4218,1913,2069,"308, 411, 777",Chick-lit
348,3211,2165,1542,1748,1913,"308, 411, 942",Chick-lit
349,2581,1913,1748,2165,4218,"308, 411, 952",Chick-lit
350,2581,3211,1748,2165,1913,"308, 411, 1063",Chick-lit
351,3211,1748,4839,1649,2165,"308, 411, 1072",Chick-lit
352,3011,1748,2165,1913,3211,"308, 411, 1111",Chick-lit
353,3211,2165,1748,1913,4218,"308, 411, 1268",Chick-lit
354,1748,1430,2165,2581,3211,"308, 411, 1417",Chick-lit
355,4218,2581,3503,7566,2938,"308, 455, 465",Chick-lit
356,4218,2075,3211,1649,2581,"308, 455, 509",Chick-lit
357,2938,2075,2581,4218,2069,"308, 455, 647",Chick-lit
358,2075,3211,2371,1649,3503,"308, 455, 694",Chick-lit
359,4218,3211,2075,2581,7388,"308, 455, 741",Chick-lit
360,1649,2581,7566,3211,5445,"308, 455, 761",Chick-lit
361,4218,1649,2581,7566,2075,"308, 455, 777",Chick-lit
362,4218,1649,3211,1542,2075,"308, 455, 942",Chick-lit
363,2581,4218,1649,2938,7566,"308, 455, 952",Chick-lit
364,2581,2938,1649,3211,8380,"308, 455, 1063",Chick-lit
365,3211,1649,4218,4839,7566,"308, 455, 1072",Chick-lit
366,4218,3011,2581,3211,5427,"308, 455, 1111",Chick-lit
367,4218,3211,1649,7566,2075,"308, 455, 1268",Chick-lit
368,2069,2938,2581,4218,1649,"308, 455, 1417",Chick-lit
369,2069,2165,2610,3011,4218,"308, 465, 509",Chick-lit
370,1649,2069,2075,2581,4218,"308, 465, 647",Chick-lit
371,1649,3503,3211,2938,2075,"308, 465, 694",Chick-lit
372,2075,2069,2165,3011,2581,"308, 465, 741",Chick-lit
373,1649,2069,3211,2165,7566,"308, 465, 761",Chick-lit
374,7566,2069,2165,1649,3503,"308, 465, 777",Chick-lit
375,4218,1649,1542,3211,2069,"308, 465, 942",Chick-lit
376,2581,3011,1649,2069,2075,"308, 465, 952",Chick-lit
377,2581,3011,2938,1649,2069,"308, 465, 1063",Chick-lit
378,1649,3211,4839,4218,3503,"308, 465, 1072",Chick-lit
379,3011,2069,2165,4218,3211,"308, 465, 1111",Chick-lit
380,3211,1649,4218,7566,4839,"308, 465, 1268",Chick-lit
381,2165,1649,2069,5427,2075,"308, 465, 1417",Chick-lit
382,2069,3211,2075,4218,1913,"308, 509, 647",Chick-lit
383,3211,3011,4218,2069,2075,"308, 509, 694",Chick-lit
384,3211,4218,2581,2075,2165,"308, 509, 741",Chick-lit
385,2581,3211,4218,2069,2165,"308, 509, 761",Chick-lit
386,2069,2165,3211,2581,4218,"308, 509, 777",Chick-lit
387,4218,3211,2069,2075,2581,"308, 509, 942",Chick-lit
388,2581,4218,3011,3211,2069,"308, 509, 952",Chick-lit
389,4218,3211,2069,3011,1748,"308, 509, 1063",Chick-lit
390,3211,2069,4218,1913,3011,"308, 509, 1072",Chick-lit
391,3011,4218,2069,3211,2610,"308, 509, 1111",Chick-lit
392,4218,3211,1913,2165,2069,"308, 509, 1268",Chick-lit
393,2069,3211,2581,1748,3011,"308, 509, 1417",Chick-lit
394,3211,2069,2075,2371,2938,"308, 647, 694",Chick-lit
395,2069,2075,2581,4218,3211,"308, 647, 741",Chick-lit
396,2069,3211,2938,2581,4218,"308, 647, 761",Chick-lit
397,2069,2581,2075,1649,4218,"308, 647, 777",Chick-lit
398,4218,2069,3211,1542,2581,"308, 647, 942",Chick-lit
399,2069,2581,4218,2075,5445,"308, 647, 952",Chick-lit
400,1748,2581,3211,2069,2075,"308, 647, 1063",Chick-lit
401,2069,3211,1649,4218,7566,"308, 647, 1072",Chick-lit
402,4218,2069,2581,3011,1748,"308, 647, 1111",Chick-lit
403,4218,3211,2069,2075,7566,"308, 647, 1268",Chick-lit
404,1748,2069,2581,2075,2938,"308, 647, 1417",Chick-lit
405,2075,3211,2069,2581,2589,"308, 694, 741",Chick-lit
406,3211,1649,2075,2581,1748,"308, 694, 761",Chick-lit
407,2371,3503,3211,2069,2075,"308, 694, 777",Chick-lit
408,3211,4218,3503,1542,2371,"308, 694, 942",Chick-lit
409,2581,4218,3011,2371,3211,"308, 694, 952",Chick-lit
410,1748,8380,2581,3211,2371,"308, 694, 1063",Chick-lit
411,3211,3503,2589,1649,4218,"308, 694, 1072",Chick-lit
412,3011,3211,1748,3503,4218,"308, 694, 1111",Chick-lit
413,3211,3503,2075,4218,2371,"308, 694, 1268",Chick-lit
414,3211,1748,2075,1430,2069,"308, 694, 1417",Chick-lit
415,3211,2581,2069,2075,4218,"308, 741, 761",Chick-lit
